Threads,Peak Performance (Mega Adds Per Second), Average Performance (Mega Adds Per Second),,,,
1,258.985715,258.218029,,,,
Index,Sum,,,,,
0,1148676.25,,,,,
1,53185.10547,,,,Parallelism Method,Peak Performances (Mega Adds Per Second)
2,67181.57813,,,,1 Thread OpenMP,258.985715
3,52135.94922,,,,8 Thread OpenMP,1207.480277
4,45437.36328,,,,SIMD,1771.169487
5,53552.26563,,,,OpenCL,50848.5
6,69232.05469,,,,,
7,60377.93359,,,,,
8,52751.64063,,,,,
9,64942.86328,,,,,
10,57681.625,,,,,
11,55733.60938,,,,,
12,64919.98828,,,,,
13,55214.13281,,,,,
14,66260.11719,,,,,
15,53664.20313,,,,,
16,61101.02344,,,,,
17,60268.39844,,,,,
18,56868.54688,,,,,
19,58167.16406,,,,,
20,48982.26953,,,,,
21,50313.11328,,,,,
22,51926.375,,,,,
23,55920.90234,,,,,
24,40470.53906,,,,,
25,45473.60938,,,,,
26,41750.41016,,,,,
27,48448.53125,,,,,
28,34757.07031,,,,,
29,56272.40625,,,,,
30,40708.73828,,,,,
31,28854.83789,,,,,
32,30106.69727,,,,,
33,29928.17383,,,,,
34,39107.16016,,,,,
35,29363.53125,,,,,
36,20468.74219,,,,,
37,39045.03516,,,,,
38,21845.31641,,,,,
39,21911.5332,,,,,
40,23962.37109,,,,,
41,22824.95117,,,,,
42,24288.28906,,,,,
43,24260.21484,,,,,
44,19128.31445,,,,,
45,11907.76758,,,,,
46,18085.77148,,,,,
47,13963.74707,,,,,
48,23184.67188,,,,,
49,15028.03223,,,,,
50,22688.10156,,,,,
51,881.544189,,,,,
52,6230.131348,,,,,
53,-1860.702881,,,,,
54,2759.43042,,,,,
55,-1197.398315,,,,,
56,-11174.79102,,,,,
57,-11476.46777,,,,,
58,-512.817993,,,,,
59,-19492.83594,,,,,
60,-6232.022949,,,,,
61,-12365.05957,,,,,
62,-12251.15723,,,,,
63,-19695.01758,,,,,
64,-13457.5,,,,,
65,-23919.27734,,,,,
66,-24459.76367,,,,,
67,-27000.95508,,,,,
68,-27252.9668,,,,,
69,-19609.05078,,,,,
70,-15920.11523,,,,,
71,-28997.91016,,,,,
72,-25466.83008,,,,,
73,-19769.5332,,,,,
74,-34929.94141,,,,,
75,-31570.36523,,,,,
76,-41675.39844,,,,,
77,-43563.95313,,,,,
78,-38438.99219,,,,,
79,-34191.89453,,,,,
80,-47888.33984,,,,,
81,-49453.59766,,,,,
82,-34976.66797,,,,,
83,-54747.49219,,,,,
84,-55944.72266,,,,,
85,-51536.00391,,,,,
86,-43619.34766,,,,,
87,-40174.52344,,,,,
88,-52694.48828,,,,,
89,-46674.22656,,,,,
90,-56267.15625,,,,,
91,-47637.38281,,,,,
92,-52278.04297,,,,,
93,-55383.34766,,,,,
94,-52627.92969,,,,,
95,-48374.83594,,,,,
96,-60636.10547,,,,,
97,-50312.30859,,,,,
98,-48890.58203,,,,,
99,-51302.61328,,,,,
100,-50812.10156,,,,,
101,-55483.44531,,,,,
102,-64674.32031,,,,,
103,-53008.34375,,,,,
104,-57851.44922,,,,,
105,-54828.77734,,,,,
106,-55817.22656,,,,,
107,-65209.80078,,,,,
108,-64544.40234,,,,,
109,-65559.9375,,,,,
110,-68940.04688,,,,,
111,-59783.50781,,,,,
112,-53604.38281,,,,,
113,-55936.125,,,,,
114,-64161.81641,,,,,
115,-51322.98047,,,,,
116,-65025.09375,,,,,
117,-58155.88281,,,,,
118,-52956.10547,,,,,
119,-49942.19531,,,,,
120,-60890.02734,,,,,
121,-60276.33594,,,,,
122,-52030.53906,,,,,
123,-48117.46094,,,,,
124,-61966.48828,,,,,
125,-54262.19531,,,,,
126,-63243.48828,,,,,
127,-55297.77734,,,,,
128,-42025.78125,,,,,
129,-47397.34375,,,,,
130,-40284.99219,,,,,
131,-53048.86719,,,,,
132,-54167.67969,,,,,
133,-46036.38281,,,,,
134,-44353.58984,,,,,
135,-45391.84766,,,,,
136,-48665.74219,,,,,
137,-39379.46484,,,,,
138,-44628.24219,,,,,
139,-34752.44922,,,,,
140,-37701.85547,,,,,
141,-27355.43945,,,,,
142,-31369.12109,,,,,
143,-39549.46094,,,,,
144,-26604.09766,,,,,
145,-31523.53516,,,,,
146,-21174.26758,,,,,
147,-23891.84961,,,,,
148,-17154,,,,,
149,-22705.60742,,,,,
150,-19139.2168,,,,,
151,-25712.86328,,,,,
152,-20691.40625,,,,,
153,-21063.10156,,,,,
154,-16031.66113,,,,,
155,-14620.26856,,,,,
156,-4356.941406,,,,,
157,-6778.94873,,,,,
158,-10001.46484,,,,,
159,-10610.92676,,,,,
160,-10267.42188,,,,,
161,-4675.120605,,,,,
162,-2385.87793,,,,,
163,3168.535889,,,,,
164,2149.125,,,,,
165,5635.651367,,,,,
166,10979.30762,,,,,
167,14767.57324,,,,,
168,7226.927246,,,,,
169,14871.1709,,,,,
170,8183.060547,,,,,
171,19609.37695,,,,,
172,18819.86719,,,,,
173,19787.35156,,,,,
174,18930.89648,,,,,
175,21981.93359,,,,,
176,23160.33398,,,,,
177,34171.38672,,,,,
178,23794.10156,,,,,
179,19260.71484,,,,,
180,29954.83203,,,,,
181,32724.39063,,,,,
182,26273.92383,,,,,
183,31810.58984,,,,,
184,42675.24219,,,,,
185,29118.07813,,,,,
186,25288.33008,,,,,
187,37004.46875,,,,,
188,44856.57813,,,,,
189,40176.93359,,,,,
190,43398.4375,,,,,
191,47673.10547,,,,,
192,54446.87109,,,,,
193,46278.00781,,,,,
194,49043.29297,,,,,
195,56294.21875,,,,,
196,58932.05469,,,,,
197,54608.23828,,,,,
198,52655.47266,,,,,
199,60336.08203,,,,,
200,47618.08594,,,,,
201,53655.15234,,,,,
202,54660,,,,,
203,53922.62109,,,,,
204,60972.56641,,,,,
205,61652.71484,,,,,
206,58885.48828,,,,,
207,55907.36719,,,,,
208,57471.71875,,,,,
209,51890.42578,,,,,
210,64270.26563,,,,,
211,72292.89844,,,,,
212,60496.01172,,,,,
213,61602.33203,,,,,
214,58203.29688,,,,,
215,57865.43359,,,,,
216,66377.29688,,,,,
217,59253.89844,,,,,
218,63996.94531,,,,,
219,62672.84766,,,,,
220,57956.86328,,,,,
221,58896.00391,,,,,
222,63026.73047,,,,,
223,67041.6875,,,,,
224,54651.00391,,,,,
225,61101.00391,,,,,
226,63760.10156,,,,,
227,65798.11719,,,,,
228,56985.28125,,,,,
229,62332.61719,,,,,
230,51295.18359,,,,,
231,58206.89844,,,,,
232,54960.73438,,,,,
233,53004.66797,,,,,
234,44976.61328,,,,,
235,53701.14453,,,,,
236,48998.09766,,,,,
237,43633.25781,,,,,
238,48177.21094,,,,,
239,41336.32422,,,,,
240,50242.87891,,,,,
241,38610.75391,,,,,
242,44807.92969,,,,,
243,44586.42969,,,,,
244,45509.55469,,,,,
245,42944.30859,,,,,
246,43903.88672,,,,,
247,42871,,,,,
248,35322.98047,,,,,
249,36393.54688,,,,,
250,27791.20898,,,,,
251,28859.58008,,,,,
252,16264.62598,,,,,
253,22110.13867,,,,,
254,31025.04883,,,,,
255,26876.68359,,,,,
256,22411.55078,,,,,
257,22982.36914,,,,,
258,7546.003418,,,,,
259,14096.11523,,,,,
260,14924.03418,,,,,
261,13150.79688,,,,,
262,18505.37109,,,,,
263,17056.77148,,,,,
264,13012.7207,,,,,
265,1426.494385,,,,,
266,1597.238647,,,,,
267,742.155884,,,,,
268,5387.393066,,,,,
269,6618.88916,,,,,
270,-8803.581055,,,,,
271,-4525.65918,,,,,
272,-6399.773926,,,,,
273,2162.833008,,,,,
274,-3805.872314,,,,,
275,-8148.517578,,,,,
276,-7133.979004,,,,,
277,-5649.051758,,,,,
278,-10966.74414,,,,,
279,-24148.51367,,,,,
280,-27785.38281,,,,,
281,-15369.56738,,,,,
282,-20488.75195,,,,,
283,-20540.06836,,,,,
284,-29086.46094,,,,,
285,-23453.01172,,,,,
286,-23498.70898,,,,,
287,-26399.81055,,,,,
288,-21386.02734,,,,,
289,-40529.47266,,,,,
290,-33203.85938,,,,,
291,-31438.65039,,,,,
292,-31854.25586,,,,,
